bucket_min,symbol,option_type,aggression_regime,distance_bucket,premium_bucket,n,touch_pct,median_minutes_to_touch,median_mfe_bps,median_mae_bps,median_end_ret_bps
5,SPXW,call,sell_dom,2-3%,$5-25k,11,0.0,,25.951675415039062,9.675894737243652,10.072199821472168
5,SPXW,put,buy_dom,0.3-0.5%,$1-5k,23,0.0,,1.5979737043380737,8.086894989013672,-6.9314491748809814
5,SPXW,put,buy_dom,0.3-0.5%,$100-500k,11,0.0,,6.210529327392578,15.615883827209473,-6.632477760314941
5,SPXW,put,buy_dom,0.3-0.5%,$5-25k,13,0.0,,7.612156391143799,10.287278652191162,-7.246562719345093
5,SPXW,put,buy_dom,0.5-1%,$1-5k,78,0.0,,4.65761137008667,11.643085479736328,-8.36216926574707
5,SPXW,put,buy_dom,0.5-1%,$100-500k,24,0.0,,17.62979507446289,16.218499183654785,-4.791769027709961
5,SPXW,put,buy_dom,0.5-1%,$25-100k,36,2.7777777777777777,32.0,11.54779863357544,16.088605403900146,-8.485896110534668
5,SPXW,put,buy_dom,0.5-1%,$5-25k,73,0.0,,10.183084487915039,13.299039840698242,-7.185007095336914
5,SPXW,put,buy_dom,0.5-1%,$500k-2.5M,11,0.0,,10.089346885681152,33.190731048583984,-28.061927795410156
5,SPXW,put,buy_dom,1-1.5%,$1-5k,150,0.0,,7.773043632507324,14.878767967224121,-7.687798023223877
5,SPXW,put,buy_dom,1-1.5%,$25-100k,36,0.0,,8.792949199676514,21.665069580078125,-17.56782341003418
5,SPXW,put,buy_dom,1-1.5%,$5-25k,99,0.0,,15.513036727905273,13.299039840698242,-2.645240545272827
5,SPXW,put,buy_dom,1.5-2%,$1-5k,183,0.0,,10.97887372970581,15.87800407409668,-6.97521185874939
5,SPXW,put,buy_dom,1.5-2%,$5-25k,80,0.0,,10.59341812133789,18.698835372924805,-9.664902687072754
5,SPXW,put,buy_dom,2-3%,$1-5k,329,0.0,,10.42819595336914,16.545053482055664,-9.457584381103516
5,SPXW,put,buy_dom,2-3%,$5-25k,101,0.0,,9.152217864990234,25.74234962463379,-14.650114059448242
5,SPXW,put,buy_dom,3%+,$1-5k,353,0.0,,12.763111114501953,19.5145206451416,-11.850072860717773
5,SPXW,put,buy_dom,3%+,$5-25k,30,0.0,,13.024901390075684,19.701151847839355,-2.0843240916728973
5,SPXW,put,mixed,0.3-0.5%,$1-5k,18,0.0,,4.614436626434326,4.940046310424805,-2.772092819213867
5,SPXW,put,mixed,0.3-0.5%,$100-500k,241,7.883817427385892,52.0,15.513036727905273,15.76337718963623,-2.816073179244995
5,SPXW,put,mixed,0.3-0.5%,$25-100k,62,6.451612903225806,26.5,7.229570388793945,16.09095001220703,-8.537768840789795
5,SPXW,put,mixed,0.3-0.5%,$5-25k,40,0.0,,4.475081920623779,12.197294235229492,-8.667806625366211
5,SPXW,put,mixed,0.3-0.5%,$500k-2.5M,109,11.926605504587156,58.0,11.683603286743164,22.181018829345703,-10.329009056091309
5,SPXW,put,mixed,0.5-1%,$1-5k,116,2.586206896551724,12.0,5.0812296867370605,14.639677047729492,-9.703566551208496
5,SPXW,put,mixed,0.5-1%,$100-500k,294,1.7006802721088436,60.0,12.793841361999512,19.640395164489746,-6.517951965332031
5,SPXW,put,mixed,0.5-1%,$25-100k,208,0.0,,13.506022930145264,16.103187561035156,-3.831282615661621
5,SPXW,put,mixed,0.5-1%,$5-25k,181,0.5524861878453038,17.0,12.265413284301758,13.548754692077637,-5.663438320159912
5,SPXW,put,mixed,0.5-1%,$500k-2.5M,39,0.0,,17.73517608642578,24.988252639770508,-2.7895379066467285
5,SPXW,put,mixed,1-1.5%,$1-5k,158,0.0,,10.183084487915039,13.517402648925781,-6.756342649459839
5,SPXW,put,mixed,1-1.5%,$100-500k,31,0.0,,11.218355178833008,26.157913208007812,-8.043901443481445
5,SPXW,put,mixed,1-1.5%,$25-100k,99,0.0,,11.1491060256958,21.41998291015625,-11.938436508178711
5,SPXW,put,mixed,1-1.5%,$5-25k,213,0.0,,14.712555885314941,15.640321731567383,-3.831282615661621
5,SPXW,put,mixed,1.5-2%,$1-5k,206,0.0,,13.57257890701294,16.882387161254883,-7.333124399185181
5,SPXW,put,mixed,1.5-2%,$25-100k,32,0.0,,13.16911506652832,23.64353370666504,-9.934436798095703
5,SPXW,put,mixed,1.5-2%,$5-25k,103,0.0,,11.455848693847656,21.819067001342773,-12.573446273803711
5,SPXW,put,mixed,2-3%,$1-5k,281,0.0,,12.82457160949707,21.41998291015625,-10.150064468383789
5,SPXW,put,mixed,2-3%,$5-25k,68,0.0,,14.918244361877441,25.18293571472168,-10.221795558929443
5,SPXW,put,mixed,3%+,$1-5k,91,0.0,,11.218355178833008,21.323854446411133,-14.22419548034668
5,SPXW,put,sell_dom,0.3-0.5%,$1-5k,36,0.0,,4.594529151916504,8.402867794036865,-6.763463020324707
